"lon","lat","January","February","March","April","May","June","July","August","September","October","November","December"
247,-63,289.32177734375,290.858642578125,291.39453125,290.851348876953,289.611785888672,288.224731445312,286.762756347656,285.342956542969,284.396636962891,284.329864501953,285.303375244141,287.114440917969
249,-63,289.374725341797,290.909729003906,291.444213867188,290.891326904297,289.631195068359,288.241363525391,286.773712158203,285.349639892578,284.414855957031,284.351104736328,285.324462890625,287.153381347656
251,-63,289.429748535156,290.960784912109,291.495910644531,290.931915283203,289.655609130859,288.260955810547,286.789184570312,285.362182617188,284.437744140625,284.375122070312,285.353881835938,287.204376220703
253,-63,289.480834960938,291.006591796875,291.544372558594,290.96826171875,289.681091308594,288.279418945312,286.805450439453,285.376129150391,284.461212158203,284.400421142578,285.388092041016,287.261962890625
255,-63,289.519500732422,291.045837402344,291.587890625,291.002502441406,289.71044921875,288.297515869141,286.827667236328,285.394012451172,284.487701416016,284.431091308594,285.425994873047,287.320434570312
257,-63,289.548156738281,291.074951171875,291.623687744141,291.029296875,289.736206054688,288.309875488281,286.847076416016,285.410003662109,284.513610839844,284.460876464844,285.464416503906,287.374877929688
259,-63,289.567962646484,291.093872070312,291.653900146484,291.051696777344,289.759552001953,288.318572998047,286.865600585938,285.427307128906,284.541839599609,284.490386962891,285.501708984375,287.419219970703
261,-63,289.585266113281,291.109588623047,291.678894042969,291.068298339844,289.776611328125,288.320495605469,286.876556396484,285.440734863281,284.568542480469,284.518341064453,285.534973144531,287.456939697266
263,-63,289.607482910156,291.129150390625,291.702270507812,291.083923339844,289.791046142578,288.319244384766,286.883636474609,285.452301025391,284.595581054688,284.547515869141,285.56298828125,287.490447998047
265,-63,289.63916015625,291.158172607422,291.725128173828,291.098602294922,289.803436279297,288.316650390625,286.886627197266,285.459991455078,284.621215820312,284.576690673828,285.587829589844,287.525054931641
267,-63,289.687286376953,291.201446533203,291.750274658203,291.116302490234,289.818725585938,288.317138671875,286.891174316406,285.466613769531,284.646545410156,284.607025146484,285.613647460938,287.566223144531
269,-63,289.752685546875,291.259521484375,291.779968261719,291.138671875,289.838134765625,288.322601318359,286.900177001953,285.47509765625,284.670776367188,284.637939453125,285.645599365234,287.614074707031
271,-63,289.834259033203,291.330688476562,291.815582275391,291.168579101562,289.863983154297,288.335968017578,286.916656494141,285.489624023438,284.695678710938,284.670715332031,285.687347412109,287.669250488281
273,-63,289.924926757812,291.409698486328,291.856628417969,291.207092285156,289.896942138672,288.359283447266,286.942657470703,285.512603759766,284.723602294922,284.707366943359,285.739471435547,287.730377197266
275,-63,290.018005371094,291.490844726562,291.901306152344,291.252014160156,289.935302734375,288.390777587891,286.977294921875,285.543243408203,284.754180908203,284.747192382812,285.798187255859,287.795471191406
277,-63,290.105194091797,291.568725585938,291.947387695312,291.301177978516,289.978546142578,288.428283691406,287.019775390625,285.581848144531,284.7861328125,284.787872314453,285.856628417969,287.86279296875
279,-63,290.180572509766,291.635650634766,291.989624023438,291.347717285156,290.020050048828,288.463989257812,287.062377929688,285.621887207031,284.815673828125,284.825897216797,285.909820556641,287.927764892578
281,-63,290.23681640625,291.682556152344,292.023742675781,291.387390136719,290.054840087891,288.492980957031,287.098968505859,285.659393310547,284.840148925781,284.858184814453,285.953674316406,287.983093261719
283,-63,290.271484375,291.707305908203,292.042938232422,291.411804199219,290.074615478516,288.507110595703,287.120422363281,285.684906005859,284.854034423828,284.880889892578,285.986145019531,288.025146484375
285,-63,290.272918701172,291.702972412109,292.036193847656,291.409240722656,290.070068359375,288.499450683594,287.118927001953,285.689666748047,284.849609375,284.885284423828,285.997344970703,288.040924072266
287,-63,290.245727539062,291.671112060547,292.001892089844,291.37841796875,290.038269042969,288.467376708984,287.091125488281,285.668762207031,284.826477050781,284.870361328125,285.988464355469,288.031433105469
289,-63,290.209289550781,291.631896972656,291.959625244141,291.344543457031,290.006805419922,288.438720703125,287.061859130859,285.648040771484,284.810668945312,284.858520507812,285.98193359375,288.014007568359
291,-63,290.051116943359,291.467224121094,291.787292480469,291.174621582031,289.842895507812,288.281860351562,286.910217285156,285.507659912109,284.680908203125,284.721038818359,285.841949462891,287.862854003906
293,-63,289.767517089844,291.172210693359,291.481536865234,290.865539550781,289.549468994141,288.000183105469,286.640563964844,285.255249023438,284.435729980469,284.451995849609,285.560607910156,287.57080078125
295,-63,289.594543457031,290.989318847656,291.293487548828,290.678283691406,289.377868652344,287.838073730469,286.487335205078,285.116638183594,284.305603027344,284.306549072266,285.405212402344,287.397796630859
297,-63,289.450927734375,290.846710205078,291.158752441406,290.550659179688,289.265258789062,287.732055664062,286.391174316406,285.035491943359,284.231018066406,284.218231201172,285.298675537109,287.259796142578
299,-63,289.317230224609,290.719512939453,291.049072265625,290.452514648438,289.183990478516,287.654205322266,286.325775146484,284.986328125,284.184326171875,284.159088134766,285.212280273438,287.134704589844
301,-63,289.19140625,290.604187011719,290.956695556641,290.374572753906,289.125244140625,287.596710205078,286.283782958984,284.961578369141,284.155639648438,284.118072509766,285.135986328125,287.018249511719
303,-63,289.077911376953,290.505676269531,290.881134033203,290.315063476562,289.085723876953,287.559417724609,286.262756347656,284.957641601562,284.142272949219,284.090118408203,285.07080078125,286.916717529297
305,-63,288.980712890625,290.425201416016,290.821044921875,290.271209716797,289.060363769531,287.538635253906,286.256591796875,284.968811035156,284.140319824219,284.071990966797,285.017059326172,286.8330078125
307,-63,288.902984619141,290.361785888672,290.775268554688,290.241027832031,289.044006347656,287.531005859375,286.257415771484,284.989013671875,284.145568847656,284.061584472656,284.973754882812,286.766021728516
309,-63,288.841125488281,290.309539794922,290.738220214844,290.215576171875,289.026397705078,287.523834228516,286.253631591797,285.006103515625,284.14794921875,284.051910400391,284.936157226562,286.711700439453
311,-63,288.796173095703,290.267700195312,290.710693359375,290.193756103516,289.006378173828,287.51318359375,286.243133544922,285.015625,284.146362304688,284.041351318359,284.905395507812,286.673034667969
313,-63,288.764892578125,290.236267089844,290.688201904297,290.170043945312,288.978790283203,287.491241455078,286.221740722656,285.010620117188,284.134918212891,284.024719238281,284.877838134766,286.648193359375
315,-63,288.753143310547,290.227233886719,290.67822265625,290.155578613281,288.954315185547,287.468322753906,286.199554443359,284.998931884766,284.121887207031,284.008392333984,284.861724853516,286.644866943359
